Gene stable ID	GO term accession
BRADI0007S00200	
BRADI0007S00210	GO:0003735
BRADI0007S00210	GO:0005622
BRADI0007S00210	GO:0005840
BRADI0007S00210	GO:0006412
BRADI0007S00210	GO:0030529
BRADI0007S00210	GO:0006098
BRADI0007S00210	GO:0009507
BRADI0007S00210	GO:0005622
BRADI0007S00210	GO:0009507
BRADI0007S00210	GO:0006098
BRADI0007S00210	GO:0003735
BRADI0007S00210	GO:0006412
BRADI0007S00210	GO:0005840
BRADI0007S00220	GO:0016021
BRADI0007S00220	GO:0004659
BRADI0007S00220	GO:0004659
BRADI0007S00220	GO:0016021
BRADI0007S00233	GO:0016491
BRADI0007S00233	GO:0055114
BRADI0007S00233	GO:0009055
BRADI0007S00233	GO:0046872
BRADI0007S00233	GO:0005506
BRADI0007S00233	GO:0004497
BRADI0007S00233	GO:0020037
BRADI0007S00233	GO:0016705
BRADI0007S00233	GO:0055114
BRADI0007S00233	GO:0016705
BRADI0007S00233	GO:0005506
BRADI0007S00233	GO:0004497
BRADI0007S00233	GO:0020037
BRADI0009S00203	GO:0005515
BRADI0009S00210	GO:0046872
BRADI0009S00210	GO:0016829
BRADI0009S00210	GO:0003824
BRADI0009S00210	GO:0004655
BRADI0009S00210	GO:0033014
BRADI0009S00210	GO:0006779
BRADI0009S00210	GO:0004655
BRADI0009S00210	GO:0006779
BRADI0009S00210	GO:0003824
BRADI0009S00210	GO:0033014
BRADI0009S00210	GO:0046872
BRADI0009S00210	GO:0046872
BRADI0009S00210	GO:0003824
BRADI0009S00210	GO:0004655
BRADI0009S00210	GO:0033014
BRADI0009S00210	GO:0004655
BRADI0009S00210	GO:0003824
BRADI0009S00210	GO:0033014
BRADI0009S00210	GO:0046872
BRADI0009S00210	GO:0046872
BRADI0009S00210	GO:0016829
BRADI0009S00210	GO:0003824
BRADI0009S00210	GO:0004655
BRADI0009S00210	GO:0033014
BRADI0009S00210	GO:0006779
BRADI0009S00210	GO:0004655
BRADI0009S00210	GO:0006779
BRADI0009S00210	GO:0003824
BRADI0009S00210	GO:0033014
BRADI0009S00210	GO:0046872
BRADI0009S00220	
BRADI0009S00230	GO:0006355
BRADI0009S00230	GO:0016020
BRADI0009S00230	GO:0005524
BRADI0009S00230	GO:0016310
BRADI0009S00230	GO:0016772
BRADI0009S00230	GO:0007165
BRADI0009S00230	GO:0000155
BRADI0009S00230	GO:0000156
BRADI0009S00230	GO:0000160
BRADI0009S00230	GO:0004871
BRADI0009S00230	GO:0023014
BRADI0009S00230	GO:0035556
BRADI0009S00230	GO:0080117
BRADI0009S00230	GO:0010087
BRADI0009S00230	GO:0009553
BRADI0009S00230	GO:0009736
BRADI0009S00230	GO:0042803
BRADI0009S00230	GO:0009506
BRADI0009S00230	GO:0005515
BRADI0009S00230	GO:0080117
BRADI0009S00230	GO:0009736
BRADI0009S00230	GO:0010087
BRADI0009S00230	GO:0016772
BRADI0009S00230	GO:0000155
BRADI0009S00230	GO:0007165
BRADI0009S00230	GO:0009506
BRADI0009S00230	GO:0009553
BRADI0009S00230	GO:0000160
BRADI0009S00230	GO:0016020
BRADI0009S00230	GO:0016310
BRADI0009S00240	GO:0006413
BRADI0009S00240	GO:0010155
BRADI0009S00240	GO:0046777
BRADI0009S00240	GO:0009941
BRADI0009S00240	GO:0009570
BRADI0009S00240	GO:0009507
BRADI0009S00240	GO:0010155
BRADI0009S00240	GO:0046777
BRADI0009S00240	GO:0009941
BRADI0009S00240	GO:0009570
BRADI0009S00240	GO:0006413
BRADI0009S00250	GO:0006355
BRADI0009S00250	GO:0008270
BRADI0009S00250	GO:0005634
BRADI0009S00250	GO:0003712
BRADI0009S00250	GO:0004402
BRADI0009S00250	GO:0016573
BRADI0009S00250	GO:0003712
BRADI0009S00250	GO:0004402
BRADI0009S00250	GO:0006355
BRADI0009S00250	GO:0008270
BRADI0009S00250	GO:0005634
BRADI0012S00200	GO:0000166
BRADI0012S00200	GO:0003924
BRADI0012S00200	GO:0005525
